era,family,full_name,trait,family_blup
2024Q2,Llama,Llama-3,-0.9291238884504849,-0.8330486033516242
2024Q2,Qwen,Qwen2,0.22993573253336552,-0.8330486033516242
2024Q2,Mistral,Mixtral-8x22B,0.731309175147542,-0.8330486033516242
2024Q2,Phi,Phi-3,0.4929978539257918,-0.8330486033516242
2024Q2,Gemma,Gemma-2,-0.13072454075664863,-0.8330486033516242
2024Q3,Llama,Llama-3.1,-1.2129206318869488,-0.8330486033516242
2024Q3,Llama,Llama-3.2,-0.751943395398013,-0.8330486033516242
2024Q3,Qwen,Qwen2.5,-0.8865542386128509,-0.8330486033516242
2024Q3,Mistral,Mistral-Large-2,0.28344146781038476,-0.8330486033516242
2024Q3,Mistral,Mistral-Small-2,1.607145418383416,-0.8330486033516242
2024Q3,Phi,Phi-3.5,0.4953336005189404,-0.8330486033516242
2025Q2,Llama,Llama-4,-1.857940148460576,-0.8330486033516242
2025Q2,Qwen,Qwen3,0.26753354536918017,-0.8330486033516242
2025Q2,Mistral,Mistral-Medium-3,1.7222645218667987,-0.8330486033516242
2025Q2,Mistral,Mistral-Small-3.2,-0.026642671073682567,-0.8330486033516242
2025Q2,Phi,Phi-4-reasoning-plus,-0.3100126922185136,-0.8330486033516242
2025Q2,Gemma,Gemma-3n,-0.7468564998333107,-0.8330486033516242
